Model Year,Make,Model,Car_or_Truck,Vehicle Class,Engine Size(L),Engine Size Rank,Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,CarNumber,,
2022,Chevrolet,Silverado 4WD (No Stop-Start),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,16.1,12.4,14.4,20,339,3,6,1216,378.72,2.354166667
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,16.6,14,15.4,18,361,2,6,1217,405.02,2.344155844
2022,Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,16.8,13.9,15.5,18,364,2,6,1218,407.65,2.348387097
2022,Chevrolet,Silverado 4WD Mud Terrain Tire (No DFM),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,18.1,13.8,16.2,17,381,2,6,1219,426.06,2.351851852
2022,Chevrolet,Suburban,Cars,SUV: Standard,5.3,4.8,8,A10,3,15.8,11.8,14,20,327,3,6,1229,368.2,2.335714286
2022,Chevrolet,Suburban (No Stop-Start),Cars,SUV: Standard,5.3,4.8,8,A10,3,16,11.9,14.1,20,332,3,6,1230,370.83,2.354609929
2022,Chevrolet,Suburban 4WD,Cars,SUV: Standard,5.3,4.8,8,A10,3,15.9,12.4,14.3,20,336,3,6,1232,376.09,2.34965035
2022,Chevrolet,Suburban 4WD (No Stop-Start),Cars,SUV: Standard,5.3,4.8,8,A10,3,17,12.7,15.1,19,354,3,6,1233,397.13,2.344370861
2022,Chevrolet,Tahoe,Cars,SUV: Standard,5.3,4.8,8,A10,3,15.8,11.8,14,20,327,3,6,1237,368.2,2.335714286
2022,Chevrolet,Tahoe (No Stop-Start),Cars,SUV: Standard,5.3,4.8,8,A10,3,16,11.9,14.1,20,332,3,6,1238,370.83,2.354609929
2022,Chevrolet,Tahoe 4WD,Cars,SUV: Standard,5.3,4.8,8,A10,3,15.8,11.8,14,20,327,3,6,1240,368.2,2.335714286
2022,Chevrolet,Tahoe 4WD (No Stop-Start),Cars,SUV: Standard,5.3,4.8,8,A10,3,17,12.7,15.1,19,354,3,6,1241,397.13,2.344370861
2022,GMC,Sierra FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,3,16.2,12.3,14.5,19,341,3,3,1388,381.35,2.351724138
2022,GMC,Sierra FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,2,21.5,16,19.1,15,321,3,3,1389,502.33,1.680628272
2022,GMC,Sierra,Trucks,Pickup truck: Standard,5.3,4.8,8,A8,3,15.1,11.3,13.4,21,314,3,6,1390,352.42,2.343283582
2022,GMC,Sierra,Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,14.4,11.3,13,22,305,3,6,1391,341.9,2.346153846
2022,GMC,Sierra 4WD FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,3,16.5,12.8,14.8,19,347,3,3,1396,389.24,2.344594595
2022,GMC,Sierra 4WD FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,2,22,16.4,19.5,14,326,3,3,1397,512.85,1.671794872
2022,GMC,Sierra 4WD Mud Terrain Tire FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,3,17.4,14.7,16.2,17,380,2,3,1398,426.06,2.345679012
2022,GMC,Sierra 4WD Mud Terrain Tire FFV,Trucks,Pickup truck: Standard,5.3,4.8,8,A6,2,23.1,19.6,21.5,13,358,2,3,1399,565.45,1.665116279
2022,GMC,Sierra 4WD,Trucks,Pickup truck: Standard,5.3,4.8,8,A8,3,15.6,11.9,13.9,20,327,3,6,1400,365.57,2.352517986
2022,GMC,Sierra 4WD Mud Terrain Tire,Trucks,Pickup truck: Standard,5.3,4.8,8,A8,3,16.9,13.3,15.3,18,359,2,6,1401,402.39,2.346405229
2022,GMC,Sierra 4WD,Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,14.9,12,13.6,21,318,3,6,1402,357.68,2.338235294
2022,GMC,Sierra 4WD (No DFM),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,16.8,12.4,14.8,19,347,3,6,1403,389.24,2.344594595
2022,GMC,Sierra 4WD (With Sport Mode),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,15.4,12.3,14,20,329,3,6,1404,368.2,2.35
